Time,Unix,Text
17:57:48.459,1767308268.4605753,then it
17:57:49.475,1767308269.4751081,will
17:57:50.073,1767308270.075487,start pop
17:57:50.715,1767308270.71567,ulating words
17:57:51.766,1767308271.767076,there but also
17:57:52.740,1767308272.742475,down here
17:57:53.563,1767308273.5636008,in the TERminal
17:57:54.329,1767308274.330995,we
17:58:02.127,1767308282.129017,e can see exactly what I'm saying and that's really great So what we can do is I made a catchword in here
17:58:07.781,1767308287.7830174,and the catch
17:58:08.618,1767308288.619661,word that I'm gonna share
17:58:11.039,1767308291.0405293,is the word
17:58:12.895,1767308292.8964214,this is right now
17:58:13.475,1767308293.476734,the word is joy
17:58:20.647,1767308300.6484141,so you can see how it says says
18:30:39.445,1767310239.447695,joy
18:30:39.827,1767310239.8293707,s joy
18:30:42.455,1767310242.4563937,oyoy joys joy is joyis joyjoys joys joyjoyis joys joy joyoys joy
18:30:43.340,1767310243.3415127,s joy
18:30:47.197,1767310247.197367,so cool i'm very glad word is joy
18:30:51.002,1767310251.0034862,s joyjoyjoyis joy
18:30:51.608,1767310251.6097302,s joyis joy
18:30:52.302,1767310252.3031368,joyoy is joy
18:30:52.835,1767310252.8375492,s joyjoys joy joy
18:30:53.956,1767310253.957494,d is joys joy joyjoy
18:30:55.589,1767310255.590554,s joy
18:31:05.314,1767310265.315282,oyis joyjoyoyoy is joy joyjoyjoyis joy joy
18:31:06.872,1767310266.873097,joyjoyoy joyd is joy joy is joys joy
18:31:08.335,1767310268.3363965,word is joy
18:31:14.930,1767310274.9314687,joy
