Time,Unix,Text
20:45:25.501,1767318325.502482,Is literally perfect
20:45:34.524,1767318334.525369,Is literally perfect and whenever you click in there it should also start the recording if it's not recorded
20:45:39.420,1767318339.42006,Is literally perfect and whenever you click in there it should also start the recording if it's not recorded sick dude we're doing it
20:45:46.279,1767318346.2810614,Is literally perfect and whenever you click in there it should also start the recording if it's not recorded sick dude we're doing it I really hope this is logging correctly it's fine it doesn't even you just figure out the data schema
20:45:52.547,1767318352.5477555,Is literally perfect and whenever you click in there it should also start the recording if it's not recorded sick dude we're doing it I really hope this is logging correctly it's fine it doesn't even you just figure out the data schema right we're live we're hearing we're talking OK
20:45:58.876,1767318358.8778067,Is literally perfect and whenever you click in there it should also start the recording if it's not recorded sick dude we're doing it I really hope this is logging correctly it's fine it doesn't even you just figure out the data schema right we're live we're hearing we're talking OK now I feel like I would want to
20:46:05.455,1767318365.455055,Is literally perfect and whenever you click in there it should also start the recording if it's not recorded sick dude we're doing it I really hope this is logging correctly it's fine it doesn't even you just figure out the data schema right we're live we're hearing we're talking OK now I feel like I would want to I don't think it should I don't think I should print like this
20:46:11.004,1767318371.0054038,Is literally perfect and whenever you click in there it should also start the recording if it's not recorded sick dude we're doing it I really hope this is logging correctly it's fine it doesn't even you just figure out the data schema right we're live we're hearing we're talking OK now I feel like I would want to I don't think it should I don't think I should print like this It's going to end up being very it doesn't matter
20:46:13.596,1767318373.597815,Is literally perfect and whenever you click in there it should also start the recording if it's not recorded sick dude we're doing it I really hope this is logging correctly it's fine it doesn't even you just figure out the data schema right we're live we're hearing we're talking OK now I feel like I would want to I don't think it should I don't think I should print like this It's going to end up being very it doesn't matter So those are transcripts
20:46:15.307,1767318375.307757,Is literally perfect and whenever you click in there it should also start the recording if it's not recorded sick dude we're doing it I really hope this is logging correctly it's fine it doesn't even you just figure out the data schema right we're live we're hearing we're talking OK now I feel like I would want to I don't think it should I don't think I should print like this It's going to end up being very it doesn't matter So those are transcripts and
20:46:20.677,1767318380.6786249,Is literally perfect and whenever you click in there it should also start the recording if it's not recorded sick dude we're doing it I really hope this is logging correctly it's fine it doesn't even you just figure out the data schema right we're live we're hearing we're talking OK now I feel like I would want to I don't think it should I don't think I should print like this It's going to end up being very it doesn't matter So those are transcripts and yeah then I would probably want to
20:46:22.950,1767318382.9523997,Is literally perfect and whenever you click in there it should also start the recording if it's not recorded sick dude we're doing it I really hope this is logging correctly it's fine it doesn't even you just figure out the data schema right we're live we're hearing we're talking OK now I feel like I would want to I don't think it should I don't think I should print like this It's going to end up being very it doesn't matter So those are transcripts and yeah then I would probably want to do
