Time,Unix,Text
20:28:13.598,1767317293.599583,hello
20:28:14.998,1767317294.999872,it's on here now
20:28:17.860,1767317297.8604293,that's nice
20:28:19.653,1767317299.653015,.
20:28:28.435,1767317308.4362948,I could do everything
20:28:30.010,1767317310.0101604,if if I actually can do a
20:28:30.815,1767317310.816059,full transparent background
20:28:34.748,1767317314.749879,.
20:28:37.844,1767317317.845803,would be
20:28:38.467,1767317318.4691095,crazy
20:28:39.089,1767317319.0905359,.
20:28:47.115,1767317327.1168995,might need a different
20:28:51.811,1767317331.812315,language
20:28:53.945,1767317333.9461102,because I know know windows can do it
20:28:55.488,1767317335.4897292,on top of
20:28:57.264,1767317337.2655563,the screen
20:28:57.577,1767317337.5785227,.
20:29:03.782,1767317343.782699,see what gemini has to say
20:29:28.047,1767317368.047677,so
20:29:29.513,1767317369.5148876,it's the background
20:29:30.476,1767317370.4773169,is
20:29:35.545,1767317375.5463731,OK so the
20:29:37.043,1767317377.045084,background is not transparent it's just white
20:29:37.764,1767317377.765279,.
20:29:38.716,1767317378.7163963,I
20:29:39.530,1767317379.5312762,want to be able to
20:29:43.284,1767317383.286023,see the rest of the computer screen
20:29:43.861,1767317383.8613636,through
20:29:44.593,1767317384.5936768,these displays
20:29:45.104,1767317385.1056612,.
20:29:49.859,1767317389.8596406,I know that
20:29:50.577,1767317390.5786011,Windows
20:29:51.597,1767317391.5973573,or microsoft
20:29:52.236,1767317392.2379556,gaming
20:29:53.454,1767317393.4554965,will come up
20:29:55.741,1767317395.7424774,and it'll
20:29:56.988,1767317396.9890606,be
20:29:57.896,1767317397.896996,above
20:29:59.177,1767317399.1791325,the
20:29:59.894,1767317399.8955014,regular overlay
20:30:00.503,1767317400.5043397,.
20:30:02.985,1767317402.9869678,how
20:30:04.074,1767317404.0751796,can I make something like
20:30:04.977,1767317404.978175,that
20:30:05.304,1767317405.3055239,happen
20:30:05.901,1767317405.903085,Comm
20:30:07.178,1767317407.179803,I want
20:30:07.818,1767317407.8198497,the Gui
20:30:08.477,1767317408.4779963,to
20:30:09.177,1767317409.1770875,be above
20:30:10.370,1767317410.3719873,theular
20:30:11.655,1767317411.6573188,ular overlay
20:30:13.382,1767317413.3834505,of the desktop
20:30:17.359,1767317417.360747,I I want to be able to see the rest of the desktop through the Gui
20:30:18.885,1767317418.8870645,UI.
